Age,Income,Family,ZIP Code,Education,CCAvg,Experience,Personal Loan,Mortgage,Securities Account,CD Account,Online,CreditCard
25,49,4,91107,1,1/60,1,No,0,Yes,No,No,No
45,34,3,90089,1,1/50,19,No,0,Yes,No,No,No
39,11,1,94720,1,1/00,15,No,0,No,No,No,No
35,100,1,94112,2,2/70,9,No,0,No,No,No,No
35,45,4,91330,2,1/00,8,No,0,No,No,No,Yes
37,29,4,92121,2,0/40,13,No,155,No,No,Yes,No
53,72,2,91711,2,1/50,27,No,0,No,No,Yes,No
50,22,1,93943,3,0/30,24,No,0,No,No,No,Yes
35,81,3,90089,2,0/60,10,No,104,No,No,Yes,No
34,180,1,93023,3,8/90,9,Yes,0,No,No,No,No
65,105,4,94710,3,2/40,39,No,0,No,No,No,No
29,45,3,90277,2,0/10,5,No,0,No,No,Yes,No
48,114,2,93106,3,3/80,23,No,0,Yes,No,No,No
59,40,4,94920,2,2/50,32,No,0,No,No,Yes,No
67,112,1,91741,1,2/00,41,No,0,Yes,No,No,No
60,22,1,95054,3,1/50,30,No,0,No,No,Yes,Yes
38,130,4,95010,3,4/70,14,Yes,134,No,No,No,No
42,81,4,94305,1,2/40,18,No,0,No,No,No,No
46,193,2,91604,3,8/10,21,Yes,0,No,No,No,No
55,21,1,94720,2,0/50,28,No,0,Yes,No,No,Yes
56,25,4,94015,2,0/90,31,No,111,No,No,Yes,No
57,63,3,90095,3,2/00,27,No,0,No,No,Yes,No
29,62,1,90277,1,1/20,5,No,260,No,No,Yes,No
44,43,2,91320,1,0/70,18,No,163,Yes,No,No,No
36,152,2,95521,1,3/90,11,No,159,No,No,No,Yes
43,29,3,94305,1,0/50,19,No,97,No,No,Yes,No
40,83,4,95064,3,0/20,16,No,0,No,No,No,No
46,158,1,90064,1,2/40,20,No,0,No,No,Yes,Yes
56,48,1,94539,3,2/20,30,No,0,No,No,Yes,Yes
38,119,1,94104,2,3/30,13,Yes,0,No,Yes,Yes,Yes
59,35,1,93106,3,1/20,35,No,122,No,No,Yes,No
40,29,1,94117,2,2/00,16,No,0,No,No,Yes,No
53,41,2,94801,3,0/60,28,No,193,No,No,No,No
30,18,3,91330,3,0/90,6,No,0,No,No,No,No
31,50,4,94035,3,1/80,5,No,0,No,No,Yes,No
48,81,3,92647,1,0/70,24,No,0,No,No,No,No
59,121,1,94720,1,2/90,35,No,0,No,No,No,Yes
51,71,1,95814,3,1/40,25,No,198,No,No,No,No
42,141,3,94114,3,5/00,18,Yes,0,Yes,Yes,Yes,No
38,80,4,94115,3,0/70,13,No,285,No,No,Yes,No
57,84,3,92672,3,1/60,32,No,0,Yes,No,No,No
34,60,3,94122,1,2/30,9,No,0,No,No,No,No
32,132,4,90019,2,1/10,7,Yes,412,No,No,Yes,No
39,45,1,95616,1,0/70,15,No,0,No,No,Yes,No
46,104,1,94065,1,5/70,20,No,0,No,No,Yes,Yes
57,52,4,94720,1,2/50,31,No,0,No,No,No,Yes
39,43,3,95014,2,0/70,14,No,153,No,No,Yes,No
37,194,4,91380,3,0/20,12,Yes,211,Yes,Yes,Yes,Yes
56,81,2,95747,3,4/50,26,No,0,No,No,No,Yes
40,49,1,92373,1,1/80,16,No,0,No,No,No,Yes
32,8,4,92093,2,0/70,8,No,0,Yes,No,Yes,No
61,131,1,94720,1,2/90,37,No,0,No,No,Yes,No
30,72,1,94005,1,0/10,6,No,207,No,No,No,No
50,190,3,90245,3,2/10,26,Yes,240,No,No,Yes,No
29,44,1,95819,3,0/20,5,No,0,No,No,Yes,No
41,139,2,94022,1,8/00,17,No,0,No,No,Yes,No
55,29,3,94005,2,0/10,30,No,0,Yes,Yes,Yes,No
56,131,2,95616,3,1/20,31,Yes,0,No,No,No,No
28,93,2,94065,1,0/20,2,No,0,No,No,No,No
31,188,2,91320,1,4/50,5,No,455,No,No,No,No
49,39,3,90404,2,1/70,24,No,0,Yes,No,Yes,No
47,125,1,93407,1,5/70,21,No,112,Yes,No,No,No
42,22,1,90089,1,1/00,18,No,0,No,No,No,No
42,32,4,94523,2,0/00,17,No,0,No,No,Yes,No
47,105,2,90024,1,3/30,23,No,0,No,No,No,No
59,131,1,91360,1,3/80,35,No,0,No,No,Yes,Yes
62,105,2,95670,1,2/80,36,No,336,No,No,No,No
53,45,4,95123,3,2/00,23,No,132,Yes,No,No,No
47,60,3,93407,1,2/10,21,No,0,No,No,Yes,Yes
53,20,4,90045,1,0/20,29,No,0,No,No,Yes,No
42,115,1,91335,1,3/50,18,No,0,No,No,No,Yes
53,69,4,93907,2,1/00,29,No,0,No,No,Yes,No
44,130,1,92007,1,5/00,20,No,0,No,No,No,Yes
41,85,1,94606,3,4/00,16,No,0,No,No,Yes,Yes
